nombre_punto,definicion_punto,monumentacion,puntotipo,p_espacio_de_nombres,p_local_id,x,y,z
G0009,Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,1,963241.427,1077719.794,1434.672
G0010,Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,2,963246.089,1077723.512,1435.08
G0011,Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,3,963247.047,1077712.735,1434.675
G0102,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,4,963340.549,1077418.399,1424.275
G0103,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,5,963343.728,1077420.639,1424.295
G0104,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,6,963348.063,1077413.943,1424.176
G0108,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,7,963352.066,1077362.631,1433.496
G0109,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,8,963353.422,1077358.461,1433.793
G0110,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,9,963349.195,1077361.674,1433.845
G0117,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,10,963424.994,1077301.85,1427.329
G0118,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,11,963427.083,1077304.819,1427.511
G0119,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,12,963432.888,1077300.734,1427.577
G0122,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,13,963440.797,1077293.292,1427.188
G0144,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,14,963561.869,1077080.699,1424.579
G0145,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,15,963560.888,1077091.619,1423.499
G0146,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,16,963557.165,1077090.865,1424.075
MT013,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,17,963178.85,1077244.63,1498.944
MT014,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,18,963172.697,1077243.439,1499.183
MT015,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,19,963173.975,1077236.109,1499.284
MT016,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,20,963180.253,1077237.776,1498.902
MT195,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,21,963548.26,1077404.264,1443.583
MT196,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,22,963540.808,1077415.143,1442.911
MT197,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,23,963543.76,1077417.646,1443.276
MT085,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,24,964082.036,1077229.714,1537.4
MT086,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,25,964082.14,1077220.242,1537.488
MT087,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,26,964077.105,1077220.162,1537.415
MT088,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,27,964076.918,1077229.606,1537.311
MT089,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,28,964075.308,1077229.61,1537.921
MT090,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,29,964072.036,1077229.625,1538.034
MT091,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,30,964071.923,1077223.791,1538.217
MT092,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,31,964075.496,1077223.759,1537.856
MT104,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,32,964080.171,1077169.006,1533.816
MT105,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,33,964080.817,1077166.176,1534.182
MT106,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,34,964073.751,1077164.314,1534.317
MT107,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,35,964073.139,1077167.171,1534.129
MT108,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,36,964070.836,1077167.097,1533.797
MT109,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,37,964067.973,1077166.649,1533.936
MT110,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,38,964068.422,1077164.204,1534.045
MT111,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,39,964071.241,1077164.611,1533.868
MT173,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,40,964100.371,1077166.662,1534.799
MT174,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,41,964099.8,1077160.484,1534.972
MT175,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,42,964104.755,1077160.258,1534.913
MT176,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,43,964105.449,1077166.104,1535.133
S1,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,44,963551.212,1077406.767,0
S2,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,45,963344.884,1077411.703,0
S3,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,46,963350.551,1077357.504,0
S4,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,47,963430.799,1077297.765,0
S5,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,48,963558.146,1077079.945,0
S6,No_Bien_Definido,Otros,Construccion,00_PUNTOLEVANTAMIENTO,49,963251.709,1077716.453,0
